loss,fidelity
0.029559193,0.9922659
0.041780457,0.9902625
0.03063663,0.99200827
0.03423311,0.99142087
0.045123123,0.9889314
0.035861064,0.9900145
0.039070982,0.98784
0.03568596,0.98917013
0.031193716,0.9917661
0.037260644,0.98988557
0.030429903,0.9921009
0.039115895,0.99012196
0.03179473,0.99176896
0.033784866,0.99068373
0.053168062,0.9797708
0.041778628,0.9905388
0.043130193,0.98547995
0.03606117,0.99036974
0.043320466,0.98993915
0.03367164,0.9905922
0.038447667,0.990075
